,sg,sg,sg,sg,sg,sg,sg,bw,bw,bw,bw,bw,bw,bw,cleaned,cleaned,cleaned,cleaned,cleaned,cleaned,cleaned
,A0,A1,tau1,TD1,A2,tau2,TD2,A0,A1,tau1,TD1,A2,tau2,TD2,A0,A1,tau1,TD1,A2,tau2,TD2
WM0403,1.037069838629967,2.0066908041465306,20.372006176913796,10.201331257154784,0.2488372593274998,66.90143819603898,118.46328687999655,1.0164458064878437,2.0251320349003277,20.083818170788074,10.243602790403756,0.26889078012094325,74.83340346969545,117.74463284406481,1.0652666658593926,1.9666206783387192,18.758358665285495,11.8351475897685,0.24815773173994224,57.10435432900496,118.77673947226609
JP1906,1.4289325414598932,2.459113000394918,24.020187709113305,11.991684632918458,2.1552215899319083,299.9999999999994,209.24378898305693,1.4260849228127481,2.461076533627089,23.887274705724707,12.009497605142318,2.1182365605000806,299.99999999999994,208.90689500855032,1.4315000006204464,2.454751130640667,23.723121663208616,12.151640394678607,2.1713194521616024,299.99999999999994,209.13855530631423
SJ1006,1.8250821470282752,2.9850481091156884,25.097414713265522,9.634990044097275,1.3817742171840177,299.99999999999994,146.19771711774214,1.9354491713086235,2.848933503712319,22.567180522964925,12.420496610008755,1.419034985643251,299.9999999999997,141.8527103058067,1.9393324460164028,2.8327484235882525,21.489371997213915,13.29873470483171,1.0012837125778438,194.20154379686784,140.00001285350717
ST0412,1.027757632323296,2.5612334428098316,33.28903657770801,4.174316581183568e-18,0.35209604551925694,36.13943229218718,154.04858792382126,1.0183799882477869,2.573667202222382,33.46068384427887,1.4266920564619604e-06,0.3205686054454689,29.864467712760366,155.00000275642316,1.022509349487885,2.57157753455609,33.56899926645921,4.2790044629525416e-29,0.3197129556698494,27.621694810542646,157.08628029097255
RJ1612,0.9725022706259504,3.1387649755263447,23.71592542843212,1.582252403064917,1.8906252791202427,299.99999999999994,143.96056835882266,1.2583563152476942,2.839757611788504,22.24950731578738,5.071833825191652,1.9108262175808604,299.9999999968325,142.20513746827248,1.0405000186232776,3.0642058796959626,22.90585114016411,2.7464211249298986,1.9189645313437516,299.99999999999994,143.89318176533698
SL2009,1.5643771674802651,2.010622835901465,19.396155045689678,13.149838095415918,1.6007305962337537,299.9861696636838,144.9999990982383,1.5883162271909346,1.9866224225493625,19.291890732017205,13.476384432674331,1.5825710990885922,299.99999999998636,144.89448519859036,1.5524679274415065,2.026045894969779,20.02455179212281,12.574891685735459,1.577871480447192,299.76581861373376,144.9999984685016
AA0509,1.0501031747704839,1.5924526834833492,18.59745296265077,11.733975766868003,0.19657039294835296,30.031180738957705,79.56747919778937,1.0339931009590195,1.602230388951889,18.183114255978854,11.776119568054495,0.20231704188076483,29.82092441961254,78.94090274314964,1.0675333328568748,1.5428689949584466,16.463331934407336,13.171350871388855,0.22968939523277743,31.257680639062414,75.61490484458635
IV2507,1.2794928479733418,2.7117895582489817,27.497861237156307,6.533575651821518,0.26816853502457944,10.000000000000002,119.0167587531733,1.3152690738908446,2.6721122648136832,27.343064515343624,6.9599485237837175,0.27214612523593024,10.000000000000002,118.65198798113819,1.202599965170193,2.805075711752706,28.994396971576904,4.6678708627851515,0.3135786701308267,55.37857626212998,99.38083751189045
PS2810,1.4432595235751757,2.941338634859606,21.03593211776468,6.814496857214846,0.33067160262226813,42.54668112945987,138.6609872975097,1.467181015748652,2.9073015824691724,20.678388946495566,7.097373309682517,0.3757548356296454,61.53213192573132,129.91491608770266,1.4148000029715346,2.974857299267723,21.480155966137534,6.200325766561656,0.3146065079674883,37.84021115128416,140.94480361375025
VK3004,0.7408333336468385,2.5938446145311107,25.085100007391315,7.213684318437912,0.1580288357951024,19.430199028102553,119.83911262889782,0.8137784890350556,2.529508017900899,25.451186998288833,7.74796523455975,0.14445138932593682,10.000000000000002,129.38656817350002,0.6612081010072172,2.6916456458888938,26.79565969813195,5.000000993065106,0.15916044108135294,40.75679952604851,113.55601224929785
